store_id,reward_points
US10783,45
US12099,10
US12101,10
US12104,10
US12107,10
US12108,10
US12109,55
US12110,75
US12113,10
US12120,11
US12125,25
US12128,24
US12129,11
US12131,39
US12132,114
US12133,23
US12134,22
US12147,25
US12149,13
US12150,13
US12153,14
US12154,26
US12159,14
US12161,14
US12162,15
US12163,131
US12164,34
US12166,135
US12167,325
US12176,192
US12177,360
US12179,27
US12181,154
US12182,167
US12183,490
US12184,173
US12185,182
US12188,308
US12189,88
US12190,1558
US12194,202
US12251,35
US12252,2
US12253,60
US12254,21
US12255,42
US12257,3
US12258,33
US12282,197
US12283,358
US12288,2600
US12307,10
US12308,10
US12313,27
US12314,10
US12315,180
US12317,27
US12326,95
US12329,41
US12332,13
US12333,13
US12335,14
US12338,4
US12339,33
US12345,20
US12347,1
US12348,163
US12351,177
US12352,23
US12354,182
US12356,323
US12358,232
US12378,10
US12381,11
US12384,88
US12389,17
US12390,13
US12392,28
US12394,54
US12398,58
US12399,39
US12401,79
US12402,272
US12404,21
US12405,43
US12409,60
US12411,12
US12412,152
US12413,14
US12454,31
US12456,86
US12460,331
US12461,289
US12496,306
US12522,96
US12526,10
US12528,42
US12529,135
US12532,22
US12534,21
US12537,11
US12543,30
US12544,12
US12545,26
US12546,24
US12549,30
US12552,79
US12553,42
US12555,31
US12556,41
US12558,120
US12560,110
US12562,254
US12563,237
US12565,515
US12566,1470
US12583,31
US12585,59
US12587,35
US12588,11
US12589,36
US12590,12
US12591,26
US12592,39
US12597,19
US12600,23
US12602,404
US12609,23
US12612,23
US12613,10
US12616,12
US12618,23
US12621,32
US12622,15
US12626,47
US12628,88
US12629,58
US12630,66
US12665,10
US12666,10
US12669,34
US12672,12
US12677,56
US12678,56
US12690,70
US12696,28
US12697,10
US12702,22
US12703,57
US12704,13
US12710,77
US12713,118
US12714,111
US12715,97
US12734,53
US12735,1258
US12737,13
US12738,12
US12741,548
US12742,38
US12743,34
US12745,106
US12750,25
US12751,61
US12753,292
US12754,25
US12755,25
US12756,1820
US12757,50
US12763,10
US12764,21
US12768,10
US12769,10
US12772,11
US12774,11
US12777,283
US12778,25
US12781,13
US12782,28
US12784,17
US12785,32
US12786,618
US12787,126
US12794,265
US12851,10
US12852,11
US12895,23
US12897,27
US12900,13
US12901,23
US12903,33
US12905,16
US12906,29
US12907,18
US12909,120
US12910,46
US12912,219
US12914,365
US12915,107
US12916,38
US15564,10
US15570,11
US15572,11
US15573,24
US15579,12
US15616,53
US15617,107
US15620,10
US15621,56
US15624,11
US15625,12
US15626,23
US15628,13
US15629,13
US15631,84
US15634,75
US15635,50
US15637,19
US15638,37
US15639,66
US15641,28
US15642,39
US15646,418
US15648,69
US15651,38
US15654,57
US15658,223
US15659,168
US15661,962
US15663,254
US15737,96
US15739,10
US15743,21
US15744,20
US15745,106
US15746,26
US15747,47
US15748,348
US15750,22
US15755,11
US15756,11
US15758,12
US15759,12
US15761,12
US15772,13
US15774,37
US15775,61
US15776,14
US15778,40
US15783,17
US15784,58
US15787,21
US15790,166
US15791,113
US15792,338
US15795,96
US15797,234
US15800,711
US15801,534
US15835,25
US15838,22
US15840,10
US15841,20
US15842,10
US15844,13
US15845,10
US15846,20
US15847,10
US15849,11
US15850,11
US15852,54
US15853,33
US15855,12
US15858,12
US15861,206
US15863,13
US15864,13
US15865,14
US15866,27
US15869,16
US15870,92
US15871,32
US15876,1346
US15879,53
US15880,169
US15882,91
US15883,154
US15884,89
US15886,94
US15887,56
US15888,3
US15889,245
US15893,21
US15894,10
US15895,10
US15897,10
US15898,22
US15900,11
US15901,11
US15906,25
US15911,18
US15912,509
US15919,10
US15921,1048
US15922,24
US15923,15
US15927,892
US15928,501
US16002,146
US16003,10
US16005,10
US16007,10
US16009,10
US16012,11
US16013,30
US16014,24
US16016,11
US16018,11
US16019,12
US16021,24
US16022,13
US16023,23
US16024,30
US16025,14
US16029,15
US16031,39
US16032,16
US16033,123
US16034,32
US16035,32
US16036,18
US16038,80
US16039,23
US16040,66
US16042,70
US16044,29
US16045,500
US16046,274
US16048,81
US16049,92
US16050,111
US16051,154
US16052,144
US16054,15
US16055,372
US16056,1164
US16102,10
US16103,10
US16104,135
US16105,11
US16107,15
US16108,15
US16112,276
US16113,58
US16118,23
US16120,15
US16121,18
US16138,10
US16141,10
US16142,33
US16143,11
US16144,21
US16145,11
US16146,174
US16149,820
US16150,12
US16152,12
US16153,12
US16155,22
US16156,22
US16159,65
US16160,183
US16164,293
US16165,849
US16166,359
US16170,247
US16171,89
US16172,77
US16173,63
US16174,91
US16175,100
US16176,83
US16177,138
US16242,21
US16243,10
US16244,10
US16247,57
US16248,13
US16249,35
US16250,26
US16251,26
US16254,25
US16255,155
US16258,191
US16259,406
US16260,1160
US16277,10
US16279,10
US16280,10
US16282,13
US16283,26
US16288,15
US16290,23
US16291,12
US16292,12
US16294,14
US16295,153
US16296,39
US16303,79
US16304,128
US16305,180
US16306,3
US16311,10
US16312,10
US16317,24
US16319,11
US16320,98
US16322,14
US16325,18
US16326,19
US16327,183
US16330,85
US16331,267
US16334,10
US16336,506
