customerNo,ledgerMonth,redeemed
US236,2026-02,192
US243,2026-02,32
US248,2026-02,92
US251,2026-02,188
US253,2026-02,290
US264,2026-02,331
US266,2026-02,119
US279,2026-02,514
US300,2026-02,514
US309,2026-02,100
US332,2026-02,94
US344,2026-02,86
US345,2026-02,311
US353,2026-02,145
US355,2026-02,500
US357,2026-02,184
US373,2026-02,149
US382,2026-02,161
US399,2026-02,635
US400,2026-02,527
US406,2026-02,234
US413,2026-02,45
US414,2026-02,89
US438,2026-02,160
US439,2026-02,315
US443,2026-02,112
US491,2026-02,320
US505,2026-02,539
US552,2026-02,322
US588,2026-02,226
US603,2026-02,100
US618,2026-02,160
US626,2026-02,432
US630,2026-02,510
US634,2026-02,102
US646,2026-02,1292
US653,2026-02,818
US667,2026-02,187
US671,2026-02,569
US674,2026-02,170
US682,2026-02,638
US685,2026-02,845
US692,2026-02,383
US693,2026-02,208
US709,2026-02,165
US998,2026-02,64
US1090,2026-02,241
US1383,2026-02,16
US1616,2026-02,52
US1702,2026-02,379
US2454,2026-02,89
US2457,2026-02,609
US2586,2026-02,86
US2796,2026-02,687
US2875,2026-02,308
US3070,2026-02,468
US3204,2026-02,102
US3306,2026-02,234
US3489,2026-02,88
US3571,2026-02,112
US3588,2026-02,1022
US3589,2026-02,741
US3645,2026-02,102
US3708,2026-02,16
US3848,2026-02,501
US4019,2026-02,467
US4124,2026-02,528
US4177,2026-02,1212
US4416,2026-02,1247
US4460,2026-02,42
US4527,2026-02,16
US4537,2026-02,1350
US4590,2026-02,90
US4715,2026-02,88
US5014,2026-02,87
US5057,2026-02,427
US5150,2026-02,24
US5207,2026-02,272
US5298,2026-02,307
US5494,2026-02,402
US5531,2026-02,58
US5619,2026-02,490
US5789,2026-02,418
US5874,2026-02,268
US6430,2026-02,138
US6660,2026-02,260
US6777,2026-02,78
US6778,2026-02,81
US6846,2026-02,575
US7025,2026-02,129
US7089,2026-02,235
US7264,2026-02,763
US7298,2026-02,49
US7446,2026-02,75
US7635,2026-02,825
US7847,2026-02,78
US8237,2026-02,102
US8620,2026-02,85
US8761,2026-02,505
US8786,2026-02,139
US8854,2026-02,502
US8931,2026-02,86
US8945,2026-02,71
US9032,2026-02,429
US9161,2026-02,106
US9477,2026-02,34
US9701,2026-02,167
US9787,2026-02,95
US9797,2026-02,28
US9840,2026-02,26
US9952,2026-02,1257
US9998,2026-02,30
US10045,2026-02,195
US10081,2026-02,150
US10104,2026-02,473
US10108,2026-02,32
US10209,2026-02,73
US10253,2026-02,281
US10259,2026-02,94
US10305,2026-02,440
US10338,2026-02,387
US10495,2026-02,81
US10508,2026-02,1185
US10520,2026-02,126
US10724,2026-02,65
US10783,2026-02,44
US10877,2026-02,374
